init_guess_x,init_guess_y,step_size,epsilon,final_x,final_y,iterations
0.000000,0.000000,1.000000e+02,1.000000e-05,0.000144,0.000144,1
0.000000,0.000000,1.000000e+02,1.000000e-10,0.014393,0.014393,inf
0.000000,0.000000,1.000000e+02,1.000000e-15,0.014393,0.014393,inf
0.000000,0.000000,1.000000e+02,1.000000e-20,0.014393,0.014393,inf
0.000000,0.000000,1.000000e+02,1.000000e-25,0.014393,0.014393,inf
0.000000,0.000000,1.000000e+03,1.000000e-05,0.001440,0.001440,1
0.000000,0.000000,1.000000e+03,1.000000e-10,0.143188,0.143188,inf
0.000000,0.000000,1.000000e+03,1.000000e-15,0.143188,0.143188,inf
0.000000,0.000000,1.000000e+03,1.000000e-20,0.143188,0.143188,inf
0.000000,0.000000,1.000000e+03,1.000000e-25,0.143188,0.143188,inf
0.000000,0.000000,1.000000e+04,1.000000e-05,0.014401,0.014401,1
0.000000,0.000000,1.000000e+04,1.000000e-10,1.358583,1.358583,inf
0.000000,0.000000,1.000000e+04,1.000000e-15,1.358583,1.358583,inf
0.000000,0.000000,1.000000e+04,1.000000e-20,1.358583,1.358583,inf
0.000000,0.000000,1.000000e+04,1.000000e-25,1.358583,1.358583,inf
0.000000,0.000000,1.000000e+05,1.000000e-05,0.144009,0.144009,1
0.000000,0.000000,1.000000e+05,1.000000e-10,7.886284,7.886284,inf
0.000000,0.000000,1.000000e+05,1.000000e-15,7.886284,7.886284,inf
0.000000,0.000000,1.000000e+05,1.000000e-20,7.886284,7.886284,inf
0.000000,0.000000,1.000000e+05,1.000000e-25,7.886284,7.886284,inf
0.000000,0.000000,1.000000e+06,1.000000e-05,1.440093,1.440093,1
0.000000,0.000000,1.000000e+06,1.000000e-10,9.964987,9.964987,33
0.000000,0.000000,1.000000e+06,1.000000e-15,9.999885,9.999885,66
0.000000,0.000000,1.000000e+06,1.000000e-20,9.999999,9.999999,96
0.000000,0.000000,1.000000e+06,1.000000e-25,9.999999,9.999999,96
0.000000,0.000000,5.000000e+06,1.000000e-05,9.410873,9.410873,2
0.000000,0.000000,5.000000e+06,1.000000e-10,9.994975,9.994975,5
0.000000,0.000000,5.000000e+06,1.000000e-15,9.999991,9.999991,9
0.000000,0.000000,5.000000e+06,1.000000e-20,10.000000,10.000000,13
0.000000,0.000000,5.000000e+06,1.000000e-25,10.000000,10.000000,13
5.000000,5.000000,1.000000e+02,1.000000e-05,5.000078,5.000078,1
5.000000,5.000000,1.000000e+02,1.000000e-10,5.007756,5.007756,inf
5.000000,5.000000,1.000000e+02,1.000000e-15,5.007756,5.007756,inf
5.000000,5.000000,1.000000e+02,1.000000e-20,5.007756,5.007756,inf
5.000000,5.000000,1.000000e+02,1.000000e-25,5.007756,5.007756,inf
5.000000,5.000000,1.000000e+03,1.000000e-05,5.000776,5.000776,1
5.000000,5.000000,1.000000e+03,1.000000e-10,5.077048,5.077048,inf
5.000000,5.000000,1.000000e+03,1.000000e-15,5.077048,5.077048,inf
5.000000,5.000000,1.000000e+03,1.000000e-20,5.077048,5.077048,inf
5.000000,5.000000,1.000000e+03,1.000000e-25,5.077048,5.077048,inf
5.000000,5.000000,1.000000e+04,1.000000e-05,5.007761,5.007761,1
5.000000,5.000000,1.000000e+04,1.000000e-10,5.721729,5.721729,inf
5.000000,5.000000,1.000000e+04,1.000000e-15,5.721729,5.721729,inf
5.000000,5.000000,1.000000e+04,1.000000e-20,5.721729,5.721729,inf
5.000000,5.000000,1.000000e+04,1.000000e-25,5.721729,5.721729,inf
5.000000,5.000000,1.000000e+05,1.000000e-05,5.077613,5.077613,1
5.000000,5.000000,1.000000e+05,1.000000e-10,8.982407,8.982407,inf
5.000000,5.000000,1.000000e+05,1.000000e-15,8.982407,8.982407,inf
5.000000,5.000000,1.000000e+05,1.000000e-20,8.982407,8.982407,inf
5.000000,5.000000,1.000000e+05,1.000000e-25,8.982407,8.982407,inf
5.000000,5.000000,1.000000e+06,1.000000e-05,5.776127,5.776127,1
5.000000,5.000000,1.000000e+06,1.000000e-10,9.966674,9.966674,29
5.000000,5.000000,1.000000e+06,1.000000e-15,9.999891,9.999891,62
5.000000,5.000000,1.000000e+06,1.000000e-20,10.000000,10.000000,94
5.000000,5.000000,1.000000e+06,1.000000e-25,10.000000,10.000000,94
5.000000,5.000000,5.000000e+06,1.000000e-05,8.880635,8.880635,1
5.000000,5.000000,5.000000e+06,1.000000e-10,9.998043,9.998043,5
5.000000,5.000000,5.000000e+06,1.000000e-15,9.999997,9.999997,9
5.000000,5.000000,5.000000e+06,1.000000e-20,10.000000,10.000000,12
5.000000,5.000000,5.000000e+06,1.000000e-25,10.000000,10.000000,12
15.000000,15.000000,1.000000e+02,1.000000e-05,14.999922,14.999922,1
15.000000,15.000000,1.000000e+02,1.000000e-10,14.992244,14.992244,inf
15.000000,15.000000,1.000000e+02,1.000000e-15,14.992244,14.992244,inf
15.000000,15.000000,1.000000e+02,1.000000e-20,14.992244,14.992244,inf
15.000000,15.000000,1.000000e+02,1.000000e-25,14.992244,14.992244,inf
15.000000,15.000000,1.000000e+03,1.000000e-05,14.999224,14.999224,1
15.000000,15.000000,1.000000e+03,1.000000e-10,14.922952,14.922952,inf
15.000000,15.000000,1.000000e+03,1.000000e-15,14.922952,14.922952,inf
15.000000,15.000000,1.000000e+03,1.000000e-20,14.922952,14.922952,inf
15.000000,15.000000,1.000000e+03,1.000000e-25,14.922952,14.922952,inf
15.000000,15.000000,1.000000e+04,1.000000e-05,14.992239,14.992239,1
15.000000,15.000000,1.000000e+04,1.000000e-10,14.278271,14.278271,inf
15.000000,15.000000,1.000000e+04,1.000000e-15,14.278271,14.278271,inf
15.000000,15.000000,1.000000e+04,1.000000e-20,14.278271,14.278271,inf
15.000000,15.000000,1.000000e+04,1.000000e-25,14.278271,14.278271,inf
15.000000,15.000000,1.000000e+05,1.000000e-05,14.922387,14.922387,1
15.000000,15.000000,1.000000e+05,1.000000e-10,11.017593,11.017593,inf
15.000000,15.000000,1.000000e+05,1.000000e-15,11.017593,11.017593,inf
15.000000,15.000000,1.000000e+05,1.000000e-20,11.017593,11.017593,inf
15.000000,15.000000,1.000000e+05,1.000000e-25,11.017593,11.017593,inf
15.000000,15.000000,1.000000e+06,1.000000e-05,14.223873,14.223873,1
15.000000,15.000000,1.000000e+06,1.000000e-10,10.033326,10.033326,29
15.000000,15.000000,1.000000e+06,1.000000e-15,10.000109,10.000109,62
15.000000,15.000000,1.000000e+06,1.000000e-20,10.000000,10.000000,94
15.000000,15.000000,1.000000e+06,1.000000e-25,10.000000,10.000000,94
15.000000,15.000000,5.000000e+06,1.000000e-05,11.119365,11.119365,1
15.000000,15.000000,5.000000e+06,1.000000e-10,10.001957,10.001957,5
15.000000,15.000000,5.000000e+06,1.000000e-15,10.000003,10.000003,9
15.000000,15.000000,5.000000e+06,1.000000e-20,10.000000,10.000000,12
15.000000,15.000000,5.000000e+06,1.000000e-25,10.000000,10.000000,12
-5.000000,20.000000,1.000000e+02,1.000000e-05,-4.999797,19.999865,1
-5.000000,20.000000,1.000000e+02,1.000000e-10,-4.979717,19.986478,inf
-5.000000,20.000000,1.000000e+02,1.000000e-15,-4.979717,19.986478,inf
-5.000000,20.000000,1.000000e+02,1.000000e-20,-4.979717,19.986478,inf
-5.000000,20.000000,1.000000e+02,1.000000e-25,-4.979717,19.986478,inf
-5.000000,20.000000,1.000000e+03,1.000000e-05,-4.997971,19.998647,1
-5.000000,20.000000,1.000000e+03,1.000000e-10,-4.797993,19.865329,inf
-5.000000,20.000000,1.000000e+03,1.000000e-15,-4.797993,19.865329,inf
-5.000000,20.000000,1.000000e+03,1.000000e-20,-4.797993,19.865329,inf
-5.000000,20.000000,1.000000e+03,1.000000e-25,-4.797993,19.865329,inf
-5.000000,20.000000,1.000000e+04,1.000000e-05,-4.979707,19.986472,1
-5.000000,20.000000,1.000000e+04,1.000000e-10,-3.064547,18.709698,inf
-5.000000,20.000000,1.000000e+04,1.000000e-15,-3.064547,18.709698,inf
-5.000000,20.000000,1.000000e+04,1.000000e-20,-3.064547,18.709698,inf
-5.000000,20.000000,1.000000e+04,1.000000e-25,-3.064547,18.709698,inf
-5.000000,20.000000,1.000000e+05,1.000000e-05,-4.797074,19.864716,1
-5.000000,20.000000,1.000000e+05,1.000000e-10,6.724734,12.183511,inf
-5.000000,20.000000,1.000000e+05,1.000000e-15,6.724734,12.183511,inf
-5.000000,20.000000,1.000000e+05,1.000000e-20,6.724734,12.183511,inf
-5.000000,20.000000,1.000000e+05,1.000000e-25,6.724734,12.183511,inf
-5.000000,20.000000,1.000000e+06,1.000000e-05,-2.970736,18.647157,1
-5.000000,20.000000,1.000000e+06,1.000000e-10,9.961256,10.025829,35
-5.000000,20.000000,1.000000e+06,1.000000e-15,9.999873,10.000085,68
-5.000000,20.000000,1.000000e+06,1.000000e-20,10.000000,10.000000,100
-5.000000,20.000000,1.000000e+06,1.000000e-25,10.000000,10.000000,100
-5.000000,20.000000,5.000000e+06,1.000000e-05,8.943595,10.704270,2
-5.000000,20.000000,5.000000e+06,1.000000e-10,9.998156,10.001229,6
-5.000000,20.000000,5.000000e+06,1.000000e-15,9.999984,10.000010,9
-5.000000,20.000000,5.000000e+06,1.000000e-20,10.000000,10.000000,13
-5.000000,20.000000,5.000000e+06,1.000000e-25,10.000000,10.000000,13
20.000000,-5.000000,1.000000e+02,1.000000e-05,19.999865,-4.999797,1
20.000000,-5.000000,1.000000e+02,1.000000e-10,19.986478,-4.979717,inf
20.000000,-5.000000,1.000000e+02,1.000000e-15,19.986478,-4.979717,inf
20.000000,-5.000000,1.000000e+02,1.000000e-20,19.986478,-4.979717,inf
20.000000,-5.000000,1.000000e+02,1.000000e-25,19.986478,-4.979717,inf
20.000000,-5.000000,1.000000e+03,1.000000e-05,19.998647,-4.997971,1
20.000000,-5.000000,1.000000e+03,1.000000e-10,19.865329,-4.797993,inf
20.000000,-5.000000,1.000000e+03,1.000000e-15,19.865329,-4.797993,inf
20.000000,-5.000000,1.000000e+03,1.000000e-20,19.865329,-4.797993,inf
20.000000,-5.000000,1.000000e+03,1.000000e-25,19.865329,-4.797993,inf
20.000000,-5.000000,1.000000e+04,1.000000e-05,19.986472,-4.979707,1
20.000000,-5.000000,1.000000e+04,1.000000e-10,18.709698,-3.064547,inf
20.000000,-5.000000,1.000000e+04,1.000000e-15,18.709698,-3.064547,inf
20.000000,-5.000000,1.000000e+04,1.000000e-20,18.709698,-3.064547,inf
20.000000,-5.000000,1.000000e+04,1.000000e-25,18.709698,-3.064547,inf
20.000000,-5.000000,1.000000e+05,1.000000e-05,19.864716,-4.797074,1
20.000000,-5.000000,1.000000e+05,1.000000e-10,12.183511,6.724734,inf
20.000000,-5.000000,1.000000e+05,1.000000e-15,12.183511,6.724734,inf
20.000000,-5.000000,1.000000e+05,1.000000e-20,12.183511,6.724734,inf
20.000000,-5.000000,1.000000e+05,1.000000e-25,12.183511,6.724734,inf
20.000000,-5.000000,1.000000e+06,1.000000e-05,18.647157,-2.970736,1
20.000000,-5.000000,1.000000e+06,1.000000e-10,10.025829,9.961256,35
20.000000,-5.000000,1.000000e+06,1.000000e-15,10.000085,9.999873,68
20.000000,-5.000000,1.000000e+06,1.000000e-20,10.000000,10.000000,100
20.000000,-5.000000,1.000000e+06,1.000000e-25,10.000000,10.000000,100
20.000000,-5.000000,5.000000e+06,1.000000e-05,10.704270,8.943595,2
20.000000,-5.000000,5.000000e+06,1.000000e-10,10.001229,9.998156,6
20.000000,-5.000000,5.000000e+06,1.000000e-15,10.000010,9.999984,9
20.000000,-5.000000,5.000000e+06,1.000000e-20,10.000000,10.000000,13
20.000000,-5.000000,5.000000e+06,1.000000e-25,10.000000,10.000000,13
